time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-08-26,55.97,57.41,55.88,57.03,2994293,VNM,2026-02-10,VCI
2025-08-27,57.03,58.46,56.83,57.79,4854223,VNM,2026-02-10,VCI
2025-08-28,58.27,58.74,57.98,58.27,3666449,VNM,2026-02-10,VCI
2025-08-29,58.55,58.55,57.60,57.60,4172198,VNM,2026-02-10,VCI
2025-09-03,57.60,58.74,57.60,58.74,4773459,VNM,2026-02-10,VCI
2025-09-04,58.94,59.70,58.74,59.03,4233882,VNM,2026-02-10,VCI
2025-09-05,59.13,59.22,58.17,58.17,5364137,VNM,2026-02-10,VCI
2025-09-08,58.17,59.13,57.89,57.89,6965675,VNM,2026-02-10,VCI
2025-09-09,57.89,58.27,57.41,57.60,3522635,VNM,2026-02-10,VCI
2025-09-10,57.79,57.89,57.03,57.12,3127098,VNM,2026-02-10,VCI
2025-09-11,57.12,58.46,56.74,58.46,5005742,VNM,2026-02-10,VCI
2025-09-12,58.55,60.66,58.27,60.37,13687337,VNM,2026-02-10,VCI
2025-09-15,60.56,60.66,59.99,60.27,3536437,VNM,2026-02-10,VCI
2025-09-16,60.66,62.47,60.37,61.80,12690318,VNM,2026-02-10,VCI
2025-09-17,61.90,63.23,61.90,62.18,9878719,VNM,2026-02-10,VCI
2025-09-18,62.18,62.37,60.66,60.75,5070426,VNM,2026-02-10,VCI
2025-09-19,60.94,61.04,59.22,59.22,5310507,VNM,2026-02-10,VCI
2025-09-22,59.32,59.99,58.65,58.65,5294211,VNM,2026-02-10,VCI
2025-09-23,58.74,59.70,58.74,58.84,3431691,VNM,2026-02-10,VCI
2025-09-24,59.13,59.22,58.27,59.22,3219465,VNM,2026-02-10,VCI
2025-09-25,59.51,59.60,58.74,58.74,2757739,VNM,2026-02-10,VCI
2025-09-26,58.74,59.03,58.36,58.36,2494919,VNM,2026-02-10,VCI
2025-09-29,58.36,58.46,57.50,57.60,5139527,VNM,2026-02-10,VCI
2025-09-30,57.69,58.08,57.31,57.31,3035907,VNM,2026-02-10,VCI
2025-10-01,57.98,59.70,57.50,59.32,4530998,VNM,2026-02-10,VCI
2025-10-02,59.70,59.80,58.46,58.46,3409526,VNM,2026-02-10,VCI
2025-10-03,58.55,59.51,58.46,58.55,4003694,VNM,2026-02-10,VCI
2025-10-06,59.89,59.89,59.03,59.60,4058047,VNM,2026-02-10,VCI
2025-10-07,59.89,59.89,58.65,58.65,3722157,VNM,2026-02-10,VCI
2025-10-08,59.51,60.66,58.94,60.56,5927644,VNM,2026-02-10,VCI
2025-10-09,60.56,60.66,59.80,60.08,3303747,VNM,2026-02-10,VCI
2025-10-10,60.56,60.56,59.60,59.60,4980079,VNM,2026-02-10,VCI
2025-10-13,59.41,61.23,59.03,61.13,6315036,VNM,2026-02-10,VCI
2025-10-14,61.51,61.51,60.46,60.66,5368265,VNM,2026-02-10,VCI
2025-10-15,60.94,61.51,60.75,60.75,4653477,VNM,2026-02-10,VCI
2025-10-16,60.80,61.20,60.20,61.20,5180885,VNM,2026-02-10,VCI
2025-10-17,61.00,61.20,58.80,58.80,6054177,VNM,2026-02-10,VCI
2025-10-20,58.90,59.40,55.00,55.00,8762669,VNM,2026-02-10,VCI
2025-10-21,56.10,58.00,56.10,56.50,7079112,VNM,2026-02-10,VCI
2025-10-22,57.10,57.30,55.70,56.30,3863715,VNM,2026-02-10,VCI
2025-10-23,56.50,57.10,56.30,56.60,2331775,VNM,2026-02-10,VCI
2025-10-24,56.90,58.10,56.10,58.10,3966518,VNM,2026-02-10,VCI
2025-10-27,58.40,58.40,57.00,57.00,3010562,VNM,2026-02-10,VCI
2025-10-28,57.20,57.40,56.80,57.40,2083083,VNM,2026-02-10,VCI
2025-10-29,57.50,57.90,57.10,57.50,1973000,VNM,2026-02-10,VCI
2025-10-30,57.80,57.90,57.00,57.10,1905200,VNM,2026-02-10,VCI
2025-10-31,57.40,57.70,57.10,57.60,2641500,VNM,2026-02-10,VCI
2025-11-03,57.70,58.30,57.30,57.30,2642700,VNM,2026-02-10,VCI
2025-11-04,57.60,57.90,56.30,57.30,4175200,VNM,2026-02-10,VCI
2025-11-05,57.30,58.50,57.10,58.00,3831600,VNM,2026-02-10,VCI
2025-11-06,58.00,58.50,57.60,58.00,2241200,VNM,2026-02-10,VCI
2025-11-07,57.60,58.40,57.50,57.60,3251100,VNM,2026-02-10,VCI
2025-11-10,57.70,57.90,57.00,57.00,2675800,VNM,2026-02-10,VCI
2025-11-11,57.00,59.00,57.00,58.90,5152700,VNM,2026-02-10,VCI
2025-11-12,58.80,60.00,58.50,59.80,5161900,VNM,2026-02-10,VCI
2025-11-13,59.80,62.00,59.70,61.80,9741800,VNM,2026-02-10,VCI
2025-11-14,61.70,63.30,61.60,62.80,10146900,VNM,2026-02-10,VCI
2025-11-17,62.90,63.30,61.80,62.10,4198400,VNM,2026-02-10,VCI
2025-11-18,62.00,62.30,60.50,60.70,5559900,VNM,2026-02-10,VCI
2025-11-19,60.70,61.90,60.50,60.90,4458500,VNM,2026-02-10,VCI
2025-11-20,61.40,61.60,60.50,60.70,2656100,VNM,2026-02-10,VCI
2025-11-21,60.30,60.70,59.70,59.90,4191100,VNM,2026-02-10,VCI
2025-11-24,60.10,63.40,60.10,63.00,9900300,VNM,2026-02-10,VCI
2025-11-25,63.00,63.20,61.90,61.90,4907900,VNM,2026-02-10,VCI
2025-11-26,62.30,63.20,62.30,62.80,3651000,VNM,2026-02-10,VCI
2025-11-27,63.00,63.40,62.00,62.00,3962300,VNM,2026-02-10,VCI
2025-11-28,62.20,64.50,62.20,64.00,11898300,VNM,2026-02-10,VCI
2025-12-01,64.30,65.90,64.30,64.90,9107300,VNM,2026-02-10,VCI
2025-12-02,64.80,65.60,64.50,65.00,6764300,VNM,2026-02-10,VCI
2025-12-03,65.10,65.20,64.00,64.60,5383600,VNM,2026-02-10,VCI
2025-12-04,65.00,65.10,63.40,63.40,5918000,VNM,2026-02-10,VCI
2025-12-05,63.60,64.50,63.40,63.40,3598900,VNM,2026-02-10,VCI
2025-12-08,63.30,64.50,63.20,63.50,3322000,VNM,2026-02-10,VCI
2025-12-09,63.50,64.10,62.50,62.50,5389200,VNM,2026-02-10,VCI
2025-12-10,62.40,64.50,62.30,63.10,3470500,VNM,2026-02-10,VCI
2025-12-11,63.00,63.50,61.50,61.50,4852300,VNM,2026-02-10,VCI
2025-12-12,61.70,62.00,60.20,60.20,4396400,VNM,2026-02-10,VCI
2025-12-15,60.30,62.60,60.30,62.00,4242600,VNM,2026-02-10,VCI
2025-12-16,62.00,64.40,61.70,64.20,6863300,VNM,2026-02-10,VCI
2025-12-17,64.10,64.10,62.90,62.90,2090400,VNM,2026-02-10,VCI
2025-12-18,63.60,64.00,62.90,63.90,3065000,VNM,2026-02-10,VCI
2025-12-19,63.70,64.00,63.00,64.00,2685700,VNM,2026-02-10,VCI
2025-12-22,63.90,63.90,63.10,63.20,2650700,VNM,2026-02-10,VCI
2025-12-23,63.50,64.10,62.30,62.60,4394700,VNM,2026-02-10,VCI
2025-12-24,62.80,62.90,61.50,61.50,4870200,VNM,2026-02-10,VCI
2025-12-25,61.60,62.30,61.30,61.30,2059600,VNM,2026-02-10,VCI
2025-12-26,61.60,62.30,61.20,61.50,2399200,VNM,2026-02-10,VCI
2025-12-29,61.50,62.20,61.40,62.10,1943000,VNM,2026-02-10,VCI
2025-12-30,62.10,62.30,61.70,61.80,1581000,VNM,2026-02-10,VCI
2025-12-31,61.90,62.00,61.20,61.20,1879600,VNM,2026-02-10,VCI
2026-01-05,61.30,61.50,60.00,60.30,2814700,VNM,2026-02-10,VCI
2026-01-06,60.50,60.90,60.30,60.80,2963300,VNM,2026-02-10,VCI
2026-01-07,60.80,61.50,60.50,60.90,3228100,VNM,2026-02-10,VCI
2026-01-08,61.10,63.40,61.10,62.20,5636400,VNM,2026-02-10,VCI
2026-01-09,62.40,62.50,61.00,61.00,4184100,VNM,2026-02-10,VCI
