Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source,symbol
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,,
VNM,2018,1,0.08,0.34,0.40,1.26,1.53,5.44,26.04,54.66,47.50,128.19,6.68,0.24,0.45,0.22,0.41,0.39,0.30,12450184651001.00,2927943109579,0.00,2.37,0.12,1.85,-342.23,1.34,244535077206500.00,1451246749.00,24.30,9.48,4.78,33.97,1861.37,17783.15,19.74,VNM,2026-02-10,VCI,VNM
VNM,2017,4,0.03,0.45,0.44,1.14,1.59,5.39,20.97,58.41,44.44,123.82,6.25,0.15,0.45,0.14,0.44,0.47,0.32,12729875129644.00,1875637952045,0.02,1.99,0.14,1.60,-373.99,1.45,268483768590000.00,1451263614.00,26.08,11.49,5.26,27.97,1202.13,16104.73,21.08,VNM,2026-02-10,VCI,VNM
VNM,2017,3,0.03,0.31,0.34,1.15,1.63,6.12,20.88,56.45,39.81,117.14,6.47,0.23,0.47,0.20,0.43,0.47,0.33,12790242044205.00,3024347783085,0.02,2.66,0.16,2.15,-431.66,1.31,296783409063000.00,1451263614.00,28.59,12.36,5.88,28.57,1856.25,16542.46,23.19,VNM,2026-02-10,VCI,VNM
VNM,2017,2,0.03,0.29,0.33,1.18,1.65,6.02,19.87,57.11,33.83,110.81,6.39,0.24,0.49,0.22,0.44,0.45,0.34,12656978163044.00,3248418896063,0.01,3.08,0.15,2.46,-807.33,1.29,220453187119900.00,1451304721.00,21.54,8.99,4.46,20.88,2013.42,16894.17,17.41,VNM,2026-02-10,VCI,VNM
VNM,2017,1,0.03,0.24,0.33,1.20,1.65,5.89,19.61,57.26,28.05,104.92,6.37,0.27,0.48,0.24,0.44,0.45,0.34,12572138417600.00,3281600344551,0.00,3.65,0.48,2.94,-245.01,1.24,222053978682000.00,1451333194.00,21.89,8.96,4.58,21.09,2022.33,17073.93,17.53,VNM,2026-02-10,VCI,VNM
VNM,2016,4,0.09,0.31,0.37,1.07,1.65,5.66,17.14,62.42,35.48,115.04,5.85,0.17,0.46,0.15,0.43,0.00,0.33,11714538490980.00,1991402173914,0.04,2.89,0.17,2.19,-101.74,1.31,214800596832000.00,1451355384.00,22.97,9.69,4.59,25.60,1260.18,15273.36,18.42,VNM,2026-02-10,VCI,VNM
VNM,2016,3,0.10,0.33,0.39,0.99,1.62,5.62,21.12,55.00,23.37,99.49,6.64,0.24,0.42,0.21,0.43,0.00,0.33,11806901949027.00,2904926009181,0.03,2.72,0.19,2.10,-293.22,1.33,194345985453100.00,1451426329.00,20.53,9.47,4.22,23.74,1756.05,14138.16,16.54,VNM,2026-02-10,VCI,VNM
VNM,2016,2,0.00,0.00,0.36,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.43,0.23,0.00,0.00,0.00,0.00,3181681370024,0.03,0.00,0.00,0.00,-365.53,1.30,206106026238000.00,1451450889.00,22.79,7.51,4.64,25.53,1939.71,18917.93,18.05,VNM,2026-02-10,VCI,VNM
VNM,2016,1,0.09,0.27,0.36,1.09,1.55,5.27,21.23,56.01,27.14,104.38,6.52,0.24,0.49,0.21,0.40,0.00,0.31,10581191892140.00,2445691929927,0.00,3.13,0.30,2.43,-294.17,1.27,186021606690000.00,1200139398.00,22.22,8.22,4.38,25.19,1797.45,18855.22,16.60,VNM,2026-02-10,VCI,VNM
VNM,2015,4,0.00,0.00,0.39,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.40,0.17,0.00,0.00,0.00,0.00,2106971188018,0.03,0.00,0.00,0.00,-246.75,1.31,166819376322000.00,1200139398.00,21.47,8.07,4.16,21.79,1579.88,17234.29,15.94,VNM,2026-02-10,VCI,VNM
VNM,2015,3,0.00,0.00,0.41,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.41,0.20,0.00,0.00,0.00,0.00,2463619257387,0.03,0.00,0.00,0.00,-314.90,1.35,145216867158000.00,1200139398.00,19.09,7.65,3.71,19.08,1779.22,15815.08,14.04,VNM,2026-02-10,VCI,VNM
VNM,2015,2,0.00,0.00,0.38,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.42,0.21,0.00,0.00,0.00,0.00,2444979498425,0.04,0.00,0.00,0.00,-360.42,1.28,136815891372000.00,1200139398.00,19.98,5.42,3.67,22.14,1820.76,21045.44,14.30,VNM,2026-02-10,VCI,VNM
VNM,2015,1,0.00,0.00,0.38,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.36,0.18,0.00,0.00,0.00,0.00,1756615800232,0.03,0.00,0.00,0.00,-216.03,1.27,119014113876000.00,1000118604.00,19.08,5.65,3.30,21.02,1556.67,21069.21,13.46,VNM,2026-02-10,VCI,VNM
VNM,2014,4,0.10,0.30,0.45,0.94,1.44,3.93,20.26,55.24,31.13,106.63,6.61,0.20,0.38,0.19,0.33,0.00,0.25,8685680600715.00,1894518012992,0.02,2.85,1.68,2.18,-208.74,1.31,105012453420000.00,1000118604.00,17.30,5.34,3.00,19.71,1729.53,19667.67,12.10,VNM,2026-02-10,VCI,VNM
VNM,2014,3,0.11,0.31,0.49,0.87,1.44,3.82,19.39,60.57,32.56,112.53,6.03,0.18,0.35,0.16,0.32,16.69,0.25,8629242850901.00,1546015927763,0.02,2.49,1.33,1.80,-208.25,1.32,100011860400000.00,1000118604.00,17.22,5.52,2.96,87.28,1376.09,18120.17,11.70,VNM,2026-02-10,VCI,VNM
VNM,2014,2,0.04,0.28,0.48,0.89,1.46,3.80,19.62,61.06,33.86,114.54,5.98,0.20,0.34,0.17,0.34,18.02,0.27,8918612357230.00,1803640258730,0.02,2.98,1.57,2.06,-145.33,1.28,108012809232000.00,1000118604.00,17.64,5.82,3.26,60.54,1575.25,18549.83,12.02,VNM,2026-02-10,VCI,VNM
VNM,2014,1,0.03,0.23,0.47,0.90,1.45,3.71,19.77,62.66,34.29,116.72,5.83,0.20,0.33,0.18,0.36,17.94,0.29,9059668264159.00,1572795218099,0.00,3.35,1.76,2.41,-147.39,1.24,107512962909000.00,833433821.00,16.82,5.72,3.37,125.89,1664.66,22552.96,11.78,VNM,2026-02-10,VCI,VNM
