Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
HPG,2017,4,0.45,0.64,0.41,0.42,1.07,3.57,14.02,114.45,40.88,169.35,3.19,0.22,0.25,0.19,0.31,0.21,0.19,11626481720481.00,2838543824333,0.00,1.79,0.23,1.15,-21.02,1.64,81607749807400,1516872673,10.19,2.53,1.77,13.47,1579.36,21282.32,7.78,HPG,2026-02-10,VCI
HPG,2017,3,0.42,0.60,0.42,0.39,1.10,3.46,13.15,119.60,36.37,169.12,3.05,0.21,0.23,0.17,0.32,0.22,0.19,10996989225208.00,2594088003525,0.00,1.86,0.16,1.19,-19.81,1.60,93287669389500,1516872673,10.65,3.11,2.15,11.72,1410.11,19795.54,9.29,HPG,2026-02-10,VCI
HPG,2017,2,0.45,0.73,0.55,0.30,1.13,3.14,13.66,125.04,38.57,177.27,2.92,0.18,0.21,0.14,0.34,0.26,0.20,10224032456117.00,1911671941411,0.00,1.52,0.12,0.82,-14.70,1.73,56125657901000,1516909673,6.99,2.05,1.44,6.94,1013.78,18063.02,6.28,HPG,2026-02-10,VCI
HPG,2017,1,0.48,0.73,0.58,0.28,1.15,2.97,12.67,129.62,38.81,181.10,2.82,0.22,0.24,0.19,0.39,0.29,0.24,10635642173709.00,2277521241948,0.00,1.49,0.16,0.76,-27.19,1.73,49224934628100,1516947138,5.59,1.28,1.35,8.46,1275.07,25269.21,5.31,HPG,2026-02-10,VCI
HPG,2016,4,0.37,0.67,0.64,0.26,1.13,3.19,15.12,130.92,47.40,193.45,2.79,0.23,0.27,0.20,0.38,0.00,0.22,9530344198771.00,2312199355113,0.00,1.52,0.38,0.66,-36.92,1.67,38493249262650,1264146117,3.89,1.30,1.16,3.76,1541.90,23425.27,4.24,HPG,2026-02-10,VCI
HPG,2016,3,0.34,0.58,0.67,0.24,1.14,2.80,13.73,119.83,36.41,169.98,3.05,0.23,0.26,0.20,0.32,0.00,0.19,7920127907595.00,1897415356113,0.00,1.47,0.35,0.62,-27.48,1.58,36407476339200,842765656,6.98,2.03,1.20,7.20,1904.21,21310.67,4.89,HPG,2026-02-10,VCI
HPG,2016,2,0.00,0.00,0.68,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.32,0.25,0.00,0.00,0.00,0.00,2402385163096,0.00,0.00,0.00,0.00,-35.68,1.58,34553391896000,842765656,7.44,1.72,1.19,9.33,2403.73,23805.34,5.17,HPG,2026-02-10,VCI
HPG,2016,1,0.45,0.65,0.73,0.20,1.17,3.17,15.23,107.76,34.48,157.48,3.39,0.17,0.20,0.14,0.27,0.00,0.16,6186907990716.00,1243925412541,0.00,1.26,0.32,0.61,-15.35,1.65,31659349780800,732855319,8.21,2.05,1.10,5.40,1394.63,21041.54,5.78,HPG,2026-02-10,VCI
HPG,2015,4,0.00,0.00,0.57,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.08,0.00,0.00,0.00,0.00,771754359989,0.01,0.00,0.00,0.00,-10.02,1.76,25650807665000,732880219,7.36,1.78,0.93,5.65,771.16,19706.35,5.46,HPG,2026-02-10,VCI
HPG,2015,3,0.00,0.00,0.59,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.23,0.15,0.00,0.00,0.00,0.00,1319349020446,0.00,0.00,0.00,0.00,-20.10,1.75,19787765913000,732880219,5.81,1.41,0.74,3.94,1408.41,19156.20,4.61,HPG,2026-02-10,VCI
